Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious_Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
USA,111367209,,1199031.00,,109053249.00,,1114929.00,1771.00,332633.00,3581.00,1186742917.00,3544577.00,334805269.00
India,45028429,161.00,533475.00,2,N/A,N/A,N/A,N/A,32012.00,379.00,935879495.00,665334.00,1406631776.00
France,40138560,,167642.00,,39970918.00,,0.00,,612013.00,2556.00,271490188.00,4139547.00,65584518.00
Germany,38819284,574.00,182439.00,28,38240600.00,,396245.00,N/A,462776.00,2175.00,122332384.00,1458359.00,83883596.00
Brazil,38407327,,709765.00,,36249161.00,,1448401.00,N/A,178345.00,3296.00,63776166.00,296146.00,215353593.00
S. Korea,34571873,,35934.00,,34535939.00,,0.00,,673523.00,700.00,15804065.00,307892.00,51329899.00
Japan,33803572,,74694.00,,N/A,N/A,N/A,N/A,269169.00,595.00,100414883.00,799578.00,125584838.00
Italy,26716804,,196257.00,,26347863.00,,172684.00,67.00,443338.00,3257.00,280238086.00,4650269.00,60262770.00
UK,24898914,,232112.00,,24655170.00,,11632.00,N/A,363499.00,3389.00,522526476.00,7628357.00,68497907.00
Russia,23957146,,402264.00,,23370779.00,,184103.00,N/A,164308.00,2759.00,273400000.00,1875095.00,145805947.00
Turkey,17232066,,102174.00,,N/A,N/A,N/A,N/A,201399.00,1194.00,162743369.00,1902052.00,85561976.00
Spain,13914811,,121760.00,,13762417.00,,30634.00,231.00,297840.00,2606.00,471036328.00,10082298.00,46719142.00
Australia,11812730,1345.00,24228.00,,N/A,N/A,N/A,5.00,453137.00,929.00,81916639.00,3142326.00,26068792.00
Vietnam,11624114,,43206.00,,10640971.00,,939937.00,,117470.00,437.00,85826548.00,867342.00,98953541.00
Taiwan,10241523,,19005.00,,10222518.00,,0.00,,428720.00,796.00,30742304.00,1286903.00,23888595.00
Argentina,10094643,,130733.00,,9963910.00,,0.00,,219400.00,2841.00,35716069.00,776264.00,46010234.00
Netherlands,8634340,,22992.00,,8610383.00,622.00,965.00,N/A,501663.00,1336.00,25984435.00,1509718.00,17211447.00
Mexico,7702809,,334958.00,,6899865.00,,467986.00,N/A,58549.00,2546.00,20013810.00,152124.00,131562772.00
Iran,7626527,,146799.00,,N/A,N/A,N/A,,88657.00,1707.00,57320267.00,666338.00,86022837.00
Indonesia,6828605,,162033.00,,6647104.00,,19468.00,N/A,24463.00,580.00,114158919.00,408975.00,279134505.00
Poland,6659256,210.00,120553.00,6,N/A,N/A,N/A,N/A,176452.00,3194.00,39259301.00,1040263.00,37739785.00
Colombia,6390825,,143146.00,,6210192.00,,37487.00,342.00,124063.00,2779.00,36951507.00,717327.00,51512762.00
Greece,6101379,,37869.00,,N/A,N/A,N/A,,591412.00,3671.00,102228365.00,9909078.00,10316637.00
Austria,6081287,,22542.00,,6054934.00,,3811.00,,670727.00,2486.00,211273524.00,23302116.00,9066710.00
Portugal,5642217,,28093.00,,5613586.00,,538.00,61.00,556400.00,2770.00,46139518.00,4549993.00,10140570.00
Ukraine,5557995,,112418.00,,5445577.00,,0.00,,128681.00,2603.00,32603805.00,754855.00,43192122.00
Chile,5356303,,64497.00,,5252450.00,,39356.00,7.00,278247.00,3350.00,50382097.00,2617225.00,19250195.00
Malaysia,5274786,,37347.00,,5229308.00,,8131.00,11.00,158970.00,1126.00,68580916.00,2066869.00,33181072.00
Canada,4929750,,58348.00,,4852719.00,2116.00,18683.00,99.00,128418.00,1520.00,66572774.00,1734189.00,38388419.00
Belgium,4858488,,34376.00,,4820246.00,168.00,3866.00,N/A,416384.00,2946.00,37454182.00,3209915.00,11668278.00
Israel,4841772,,12707.00,,4798473.00,,30592.00,N/A,519169.00,1363.00,41373364.00,4436346.00,9326000.00
DPRK,4772813,,74.00,,4772739.00,,0.00,,183636.00,3.00,,,25990679.00
Thailand,4766751,,34564.00,,4692636.00,,39551.00,N/A,68020.00,493.00,17273454.00,246488.00,70078203.00
Czechia,4758292,46.00,43503.00,,4713257.00,73.00,1532.00,4.00,443177.00,4052.00,57780549.00,5381551.00,10736784.00
Peru,4572667,,222161.00,,4350506.00,,0.00,4.00,135751.00,6595.00,39010194.00,1158115.00,33684208.00
